,team1perMinplayPTS,team1perMinplayAST,team1perMinplayTO,team1perMinplaySTL,team1perMinplayBLK,team1perMinplayPF,team1perMinplayFGA,team1perMinplayFGM,team1perMinplay2PA,team1perMinplay2PM,team1perMinplay3PA,team1perMinplay3PM,team1perMinplayFTA,team1perMinplayFTM,team1perMinplayORB,team1perMinplayDRB,team1perMinplayTRB,team1perMinteamDayOff,team1perMinplayMin,team1perMinplayHeight,team1perMinplayWeight,team1perMinplayFG%,team1perMinplay2P%,team1perMinplay3P%,team1perMinplayFT%,team1perMinTS%,team1perMinUSG%,team1perMinORtg,team1perMinDRtg,team1perMinaPER,team1perMinPER,team1perMinNRtg,team1perMinFF1,team1perMinFF2,team1perMinFF3ORB,team1perMinFF3DRB,team1perMinFF4,team1perMinTotPoss,team1perMincummPTS,team1perMincummTotPoss,team1perMinPPP,team1perMinOWS
31,0.29495955,0.548676678,0.280948682,0.2322793,0.299484647,0.613669312,0.329099871,0.154349083,0,0,0.796764838,0.59523706,0.235172088,0.265341265,0.515897186,0.553849178,0.473204986,0.076356822,0.832598515,0,0,0.222698708,0.356396444,0.422712367,0.209946345,0.258871342,0.148425514,0.349467131,0.110628452,0.201635542,0.278416835,0.156499238,0,0.424768919,0.508527764,0.535904364,0.170797976,0.226811304,0.296205502,0.228394766,0.182107596,0.739029695
32,0.823820817,0.82331285,0.26672621,0.719449302,0.378909162,0.362977579,0.922687918,0.77854416,0.55605556,0.437483843,0.888762268,0.854175545,0.513885782,0.528825713,0.454771851,0.432962882,0.364607033,0.216218032,0.82018092,0,0,0.310593136,0.316913858,0.233434523,0.750216527,0.419606643,0.433256552,0.867842824,0.277291199,0.366766804,0.423183798,0.220083585,0,0.30293106,0.334930906,0.213398518,0.748087685,0.76032256,0.592538167,0.529289554,0.307405942,0.692311883
33,0.482631206,0.196029548,0.205647261,0.155320474,0.3450719,0.723281926,0.605000229,0.26756292,0.483869926,0.139203907,0.5507965,0.546090438,0.640368698,0.636020724,0.373759932,0.154887142,0.127705354,0.188900277,0.859928103,0,0,0.092417781,0.199363642,0.19844282,0.728589192,0.211190521,0.141547163,0.638678795,0.240239775,0.158936409,0.201056437,0.229449495,0,0.190853706,0.237428401,0.167282244,0.654721707,0.553058692,0.735775503,0.690359778,0.199220168,0.575608153
34,0.492695309,0.286260102,0.272620505,0.32836969,0.180625779,0.692095901,0.707925727,0.260841681,0.477899563,0.090036207,0.702276471,0.59544627,0.706348297,0.638916963,0.513696847,0.064190248,0.141352951,0.390759574,0.849856966,0,0,0.025555556,0.128634665,0.191335951,0.686856705,0.155772844,0.507606534,0.560891154,0.425890806,0.119272227,0.162608356,0.432338321,0,0.175417921,0.300771902,0.209110645,0.660750531,0.618456137,0.786211872,0.743981699,0.356506502,0.452095921
35,0.763423882,0.927984889,0.233218323,0.734086147,0.322898401,0.486166575,0.827335245,0.707537404,0.370842442,0.243749839,1,1,0.370638199,0.376196835,0.261263308,0.693208744,0.452529705,0.173411808,0.804871855,0,0,0.159691657,0.17510699,0.32912243,0.674311488,0.207820393,0.209980199,0.874822727,0.160843462,0.28922899,0.323456173,0.101234407,0,0.30537173,0.176248488,0.39357446,0.765866041,0.705331278,0.530943513,0.457961392,0.155998507,0.704061041
36,0.55017561,0.557159566,0.532841887,0.08012635,0.248780306,0.439131818,0.68787383,0.486651024,0.64620181,0.625038982,0.454880144,0.180408704,0.86489307,0.691869518,0.529796357,0.868514924,0.700899761,0.118927014,0.889893313,0,0,0.038279244,0.161716548,0.202766618,0.647941659,0.019956418,0.034102091,0.673572331,0.047141249,0.122465561,0.168354569,0.004514,0,0.294642415,0.409134789,0.614728732,0.413010665,0.705809593,0.49229661,0.497622555,0,0.402385298
37,0.399455625,0.570032898,0.639774272,0.467162281,0.32561285,0.62021763,0.580611908,0.261941941,0.364030079,0.274815156,0.673295043,0.345682588,0.857214108,0.542044909,0.725507938,0.613299618,0.614598917,0.380187595,0.812551737,0,0,0.149684816,0.186090166,0.188417861,0.286017724,0.120169829,0.542103872,0.455318824,0.318877875,0.170186764,0.194114728,0.323602568,0,0.682660283,0.594856399,0.157624913,0.224695021,0.582788918,0.558264369,0.552219435,0.237552655,0.364457596
38,0.393163906,0.406000063,0.734882955,0.652660535,0.367708403,0.519114489,0.769825019,0.443351367,0.904723065,0.534681722,0.230047117,0.236110356,0.269204285,0.26438839,0.677759787,0.378919819,0.425084915,0.317668433,0,0,0,0.337473616,0.140480637,1,0.456651142,0.472556982,0.412845874,0.629383486,0.25869104,0.516332109,0.557441354,0.227776626,0,0.453185245,0.542705129,0.461545817,0.231794991,0.648965458,0,0,0.274795458,0.283805325
39,0.756834637,0.98947816,0.494190529,0.459441312,0.389239103,0.815272583,0.673721062,0.772715204,0.791278462,0.805922497,0.237621915,0.310538995,0.916094476,0.686741685,0,0.529727132,0.216956595,0.262579492,0.841476112,0,0,0.401714831,0.421656644,0.431165863,0.47927381,0.408847509,0.376851652,0.674513757,0.291928474,0.32441808,0.36282106,0.26498714,0,0.362956574,0.032266039,0.026442451,0.44935212,0.849450908,0.722964185,0.671309306,0.251388656,0.673753207
40,0,0.218506742,0.08874781,0.424072275,0.031940949,0.544342289,0,0,0.194995915,0.283559532,0.100291203,0,0.019845541,0.06024583,0.105494563,0.317918642,0.128736711,0.905341572,0.858224861,0,0,0.833243119,1,0.449673403,0.594834806,0.832847412,0.878790619,1,1,0.332559454,0.393882095,0.949150915,0,0.663671949,0.120849992,0.393826371,0.329099813,0,0.126371298,0.082162491,0.884325761,0.532215524
41,0.63482571,0.560533501,0.767226245,0.277987714,0.28402182,0.357539262,0.616247922,0.62510438,0.608064082,0.723497706,0.406835265,0.244247159,0.696199841,0.660535797,0.81912446,0.884043772,0.84661005,0.350077852,0.835720149,0,0,0.426682443,0.370084594,0.429382681,0.486312759,0.501946201,0.620656365,0.649430882,0.402257466,0.283597407,0.316038727,0.357888615,0,0.632165588,0.846038206,0.40489453,0.332723559,0.588275017,0.493845672,0.44095374,0.286677291,0.629964515
42,1,0.774182911,1,0.220621962,0.363007971,0.309972031,1,1,0.820723348,1,0.654651156,0.372251168,1,0.981821904,0.888528991,0.99263081,0.949573241,0.134653593,0.84503734,0,0,0.226240796,0.264299339,0.265531827,0.617439582,0.270565488,0.538216628,0.829737156,0.191918217,0.256672669,0.323727654,0.128851761,0,0.403404074,0.945173583,0.467597652,0.371059558,1,0.69513549,0.629400276,0.165939453,0.821133295
43,0.731411203,0.684101788,0.846135526,0.286341376,0.350025024,0.358132621,0.861090286,0.746175808,0.690251827,0.787905081,0.640282147,0.313230666,0.646367823,0.674203394,0.998714403,1,1,0.132425252,0.842734229,0,0,0.178473891,0.320535551,0.107954825,0.47972809,0.185032855,0.311157102,0.626264171,0.158934295,0.29902424,0.336403956,0.151384564,0,0.343920492,1,0.478954901,0.173805444,0.747444173,0.609450536,0.543957134,0.156653519,0.823373334
44,0.914581872,0.741925733,0.892014317,0.468168312,0.346894109,0.550300983,0.943070433,0.852418283,0.780958611,0.858121166,0.636908439,0.36468663,0.974443909,1,1,0.97213519,0.983856468,0.058723951,0.823855228,0,0,0.144317434,0.285791592,0.090008535,0.536607213,0.150626569,0.155822677,0.854592214,0.027909446,0.276387926,0.333459275,0,0,0.206471186,0.969663634,0.49405005,0.329761995,0.893405473,0.619533769,0.534997122,0.061467891,0.958534228
45,0.705264156,0.837498654,0.820293068,0.501495207,0.318935332,0.643570057,0.678260912,0.621136552,0.632739993,0.696168174,0.464667754,0.267896953,0.895014643,0.855458911,0.969560992,0.838606514,0.877893007,0.026464656,0.813226931,0,0,0.01748348,0.162786059,0,0.343153298,0,0.050961881,0.814879247,0,0.140678027,0.203131237,0.013261435,0,0.201122232,0.93225396,0.531871154,0.314542294,0.656225868,0.503625579,0.431477789,0.035457225,0.911608769
